filename	ann_id	label	start_span	end_span	text
32085846_ES	T0	FAC_GEN	57	96	consultorio de enfermedades infecciosas
32085846_ES	T1	TRANSPORTE	165	170	viaje
32085846_ES	T2	GPE_NOM	173	178	Wuhan
32085846_ES	T3	DEPARTAMENTO	340	348	consulta
32085846_ES	T4	FAC_NOM	536	598	Centros de Control y Prevención de Enfermedades de Pekín (CDC)
32085846_ES	T5	GPE_NOM	587	592	Pekín
32085846_ES	T6	DEPARTAMENTO	707	741	planta de enfermedades infecciosas
32085846_ES	T7	DEPARTAMENTO	1533	1536	UCI
32085846_ES	T8	GPE_NOM	2237	2242	Pekín
32282027_ES	T0	FAC_GEN	39	47	hospital
32282027_ES	T1	GPE_NOM	153	158	Daegu
32282027_ES	T2	GPE_NOM	160	173	Corea del Sur
32318729_ES	T0	DEPARTAMENTO	154	175	servicio de urgencias
32318729_ES	T1	FAC_NOM	180	197	Kaiser Permanente
32318729_ES	T2	GPE_NOM	202	221	norte de California
32318729_ES	T3	GPE_NOM	225	238	San Francisco
32318729_ES	T4	DEPARTAMENTO	549	558	urgencias
32318729_ES	T5	DEPARTAMENTO	715	724	urgencias
32318729_ES	T6	FAC_GEN	930	941	instalación
32318729_ES	T7	FAC_GEN	968	978	hostelería
32318729_ES	T8	DEPARTAMENTO	2635	2651	consulta inicial
32318729_ES	T9	FAC_GEN	4027	4035	hospital
32426200_ES	T0	DEPARTAMENTO	51	72	servicio de urgencias
32426200_ES	T1	FAC_GEN	197	204	fábrica
32426200_ES	T2	TRANSPORTE	1078	1086	traslado
32426200_ES	T3	DEPARTAMENTO	1092	1127	unidad de cuidados intensivos (UCI)
32426200_ES	T4	FAC_GEN	2248	2251	NIH
32426200_ES	T5	DEPARTAMENTO	3603	3615	fisioterapia
32426200_ES	T6	TRANSPORTE	3886	3894	traslado
32426200_ES	T7	FAC_GEN	3900	3924	centro de rehabilitación
32607304_Es	T0	COMUNIDAD	8	16	italiano
32607304_Es	T1	DEPARTAMENTO	71	92	servicio de urgencias
32607304_Es	T2	DEPARTAMENTO	426	435	urgencias
32607304_Es	T3	DEPARTAMENTO	1481	1502	servicios de urgencia
